candidate,county,district,election_date,office,party,scope,state,votes
Void,Suffolk,2,2014-11-04,U.S. House,,general,NY,74
Void,Total,2,2014-11-04,U.S. House,,general,NY,140
Scattering,Nassau,2,2014-11-04,U.S. House,,general,NY,15
Scattering,Suffolk,2,2014-11-04,U.S. House,,general,NY,43
Scattering,Total,2,2014-11-04,U.S. House,,general,NY,58
Total,Nassau,2,2014-11-04,U.S. House,,general,NY,47510
Total,Suffolk,2,2014-11-04,U.S. House,,general,NY,99107
Total,Total,2,2014-11-04,U.S. House,,general,NY,146617
Steve J. Israel,Nassau,3,2014-11-04,U.S. House,DEM,general,NY,42191
Steve J. Israel,Queens,3,2014-11-04,U.S. House,DEM,general,NY,11107
Steve J. Israel,Suffolk,3,2014-11-04,U.S. House,DEM,general,NY,27095
Steve J. Israel,Total,3,2014-11-04,U.S. House,DEM,general,NY,80393
Grant M. Lally,Nassau,3,2014-11-04,U.S. House,REP,general,NY,33506
Grant M. Lally,Queens,3,2014-11-04,U.S. House,REP,general,NY,6184
Grant M. Lally,Suffolk,3,2014-11-04,U.S. House,REP,general,NY,23529
Grant M. Lally,Total,3,2014-11-04,U.S. House,REP,general,NY,63219
Grant M. Lally,Nassau,3,2014-11-04,U.S. House,CON + LBT,general,NY,5184
Grant M. Lally,Queens,3,2014-11-04,U.S. House,CON + LBT,general,NY,1109
Grant M. Lally,Suffolk,3,2014-11-04,U.S. House,CON + LBT,general,NY,4757
Grant M. Lally,Total,3,2014-11-04,U.S. House,CON + LBT,general,NY,11050
Steve J. Israel,Nassau,3,2014-11-04,U.S. House,WOR,general,NY,2566
Steve J. Israel,Queens,3,2014-11-04,U.S. House,WOR,general,NY,701
Steve J. Israel,Suffolk,3,2014-11-04,U.S. House,WOR,general,NY,1924
Steve J. Israel,Total,3,2014-11-04,U.S. House,WOR,general,NY,5191
Steve J. Israel,Nassau,3,2014-11-04,U.S. House,IND,general,NY,1854
Steve J. Israel,Queens,3,2014-11-04,U.S. House,IND,general,NY,446
Steve J. Israel,Suffolk,3,2014-11-04,U.S. House,IND,general,NY,2148
Steve J. Israel,Total,3,2014-11-04,U.S. House,IND,general,NY,4448
Blank,Nassau,3,2014-11-04,U.S. House,,general,NY,3342
Blank,Queens,3,2014-11-04,U.S. House,,general,NY,1271
Blank,Suffolk,3,2014-11-04,U.S. House,,general,NY,2100
Blank,Total,3,2014-11-04,U.S. House,,general,NY,6713
Void,Nassau,3,2014-11-04,U.S. House,,general,NY,60
Void,Queens,3,2014-11-04,U.S. House,,general,NY,0
Void,Suffolk,3,2014-11-04,U.S. House,,general,NY,15
Void,Total,3,2014-11-04,U.S. House,,general,NY,75
Scattering,Nassau,3,2014-11-04,U.S. House,,general,NY,35
Scattering,Queens,3,2014-11-04,U.S. House,,general,NY,9
Scattering,Suffolk,3,2014-11-04,U.S. House,,general,NY,30
Scattering,Total,3,2014-11-04,U.S. House,,general,NY,74
Total,Nassau,3,2014-11-04,U.S. House,,general,NY,88738
Total,Queens,3,2014-11-04,U.S. House,,general,NY,20827
Total,Suffolk,3,2014-11-04,U.S. House,,general,NY,61598
Total,Total,3,2014-11-04,U.S. House,,general,NY,171163
Kathleen M. Rice,Nassau,4,2014-11-04,U.S. House,DEM,general,NY,83772
Bruce A. Blakeman,Nassau,4,2014-11-04,U.S. House,REP,general,NY,67811
Bruce A. Blakeman,Nassau,4,2014-11-04,U.S. House,CON,general,NY,9879
Kathleen M. Rice,Nassau,4,2014-11-04,U.S. House,WOR,general,NY,6021
Bruce A. Blakeman,Nassau,4,2014-11-04,U.S. House,IND,general,NY,2437
Bruce A. Blakeman,Nassau,4,2014-11-04,U.S. House,TRP,general,NY,
Blank,Nassau,4,2014-11-04,U.S. House,,general,NY,5027
Void,Nassau,4,2014-11-04,U.S. House,,general,NY,179
Scattering,Nassau,4,2014-11-04,U.S. House,,general,NY,179
Total,Nassau,4,2014-11-04,U.S. House,,general,NY,175305
Gregory W. Meeks,Nassau,5,2014-11-04,U.S. House,DEM,general,NY,10554
Gregory W. Meeks,Queens,5,2014-11-04,U.S. House,DEM,general,NY,65158
Gregory W. Meeks,Total,5,2014-11-04,U.S. House,DEM,general,NY,75712
Allen F. Steinhardt,Nassau,5,2014-11-04,U.S. House,AFC,general,NY,971
Allen F. Steinhardt,Queens,5,2014-11-04,U.S. House,AFC,general,NY,2899
Allen F. Steinhardt,Total,5,2014-11-04,U.S. House,AFC,general,NY,3870
Blank,Nassau,5,2014-11-04,U.S. House,,general,NY,3801
Blank,Queens,5,2014-11-04,U.S. House,,general,NY,10771
Blank,Total,5,2014-11-04,U.S. House,,general,NY,14572
Void,Nassau,5,2014-11-04,U.S. House,,general,NY,7
Void,Queens,5,2014-11-04,U.S. House,,general,NY,0
Void,Total,5,2014-11-04,U.S. House,,general,NY,7
Scattering,Nassau,5,2014-11-04,U.S. House,,general,NY,33
Scattering,Queens,5,2014-11-04,U.S. House,,general,NY,206
Scattering,Total,5,2014-11-04,U.S. House,,general,NY,239
Total,Nassau,5,2014-11-04,U.S. House,,general,NY,15366
Total,Queens,5,2014-11-04,U.S. House,,general,NY,79034
Total,Total,5,2014-11-04,U.S. House,,general,NY,94400
Grace Meng,Queens,6,2014-11-04,U.S. House,DEM,general,NY,49227
Grace Meng,Queens,6,2014-11-04,U.S. House,WOR,general,NY,6141
Blank,Queens,6,2014-11-04,U.S. House,,general,NY,21343
Void,Queens,6,2014-11-04,U.S. House,,general,NY,0
Scattering,Queens,6,2014-11-04,U.S. House,,general,NY,595
Total,Queens,6,2014-11-04,U.S. House,,general,NY,77306
Nydia M. Velazquez,Kings,7,2014-11-04,U.S. House,DEM,general,NY,34754
Nydia M. Velazquez,New York,7,2014-11-04,U.S. House,DEM,general,NY,7228
Nydia M. Velazquez,Queens,7,2014-11-04,U.S. House,DEM,general,NY,5160
Nydia M. Velazquez,Total,7,2014-11-04,U.S. House,DEM,general,NY,47142
Jose Luis Fernandez,Kings,7,2014-11-04,U.S. House,REP,general,NY,3498
Jose Luis Fernandez,New York,7,2014-11-04,U.S. House,REP,general,NY,988
Jose Luis Fernandez,Queens,7,2014-11-04,U.S. House,REP,general,NY,1227
Jose Luis Fernandez,Total,7,2014-11-04,U.S. House,REP,general,NY,5713
Allan E. Romaguera,Kings,7,2014-11-04,U.S. House,CON,general,NY,935
Allan E. Romaguera,New York,7,2014-11-04,U.S. House,CON,general,NY,156
Allan E. Romaguera,Queens,7,2014-11-04,U.S. House,CON,general,NY,307
Allan E. Romaguera,Total,7,2014-11-04,U.S. House,CON,general,NY,1398
Nydia M. Velazquez,Kings,7,2014-11-04,U.S. House,WOR,general,NY,8155
Nydia M. Velazquez,New York,7,2014-11-04,U.S. House,WOR,general,NY,804
Nydia M. Velazquez,Queens,7,2014-11-04,U.S. House,WOR,general,NY,492
Nydia M. Velazquez,Total,7,2014-11-04,U.S. House,WOR,general,NY,9451
Blank,Kings,7,2014-11-04,U.S. House,,general,NY,3002
Blank,New York,7,2014-11-04,U.S. House,,general,NY,1117
Blank,Queens,7,2014-11-04,U.S. House,,general,NY,591
Blank,Total,7,2014-11-04,U.S. House,,general,NY,4710
Void,Kings,7,2014-11-04,U.S. House,,general,NY,0
Void,New York,7,2014-11-04,U.S. House,,general,NY,0
Void,Queens,7,2014-11-04,U.S. House,,general,NY,0
Void,Total,7,2014-11-04,U.S. House,,general,NY,0
Scattering,Kings,7,2014-11-04,U.S. House,,general,NY,96
Scattering,New York,7,2014-11-04,U.S. House,,general,NY,5
Scattering,Queens,7,2014-11-04,U.S. House,,general,NY,7
Scattering,Total,7,2014-11-04,U.S. House,,general,NY,108
Total,Kings,7,2014-11-04,U.S. House,,general,NY,50440
Total,New York,7,2014-11-04,U.S. House,,general,NY,10298
Total,Queens,7,2014-11-04,U.S. House,,general,NY,7784
Total,Total,7,2014-11-04,U.S. House,,general,NY,68522
Hakeem S. Jeffries,Kings,8,2014-11-04,U.S. House,DEM,general,NY,67934
Hakeem S. Jeffries,Queens,8,2014-11-04,U.S. House,DEM,general,NY,2535
Hakeem S. Jeffries,Total,8,2014-11-04,U.S. House,DEM,general,NY,70469
Alan Bellone,Kings,8,2014-11-04,U.S. House,CON,general,NY,5155
Alan Bellone,Queens,8,2014-11-04,U.S. House,CON,general,NY,1518
Alan Bellone,Total,8,2014-11-04,U.S. House,CON,general,NY,6673
Hakeem S. Jeffries,Kings,8,2014-11-04,U.S. House,WOR,general,NY,6585
Hakeem S. Jeffries,Queens,8,2014-11-04,U.S. House,WOR,general,NY,201
Hakeem S. Jeffries,Total,8,2014-11-04,U.S. House,WOR,general,NY,6786
Blank,Kings,8,2014-11-04,U.S. House,,general,NY,9376
Blank,Queens,8,2014-11-04,U.S. House,,general,NY,1738
Blank,Total,8,2014-11-04,U.S. House,,general,NY,11114
Void,Kings,8,2014-11-04,U.S. House,,general,NY,0
Void,Queens,8,2014-11-04,U.S. House,,general,NY,0
Void,Total,8,2014-11-04,U.S. House,,general,NY,0
Scattering,Kings,8,2014-11-04,U.S. House,,general,NY,66
Scattering,Queens,8,2014-11-04,U.S. House,,general,NY,5
Scattering,Total,8,2014-11-04,U.S. House,,general,NY,71
Total,Kings,8,2014-11-04,U.S. House,,general,NY,89116
Total,Queens,8,2014-11-04,U.S. House,,general,NY,5997
Total,Total,8,2014-11-04,U.S. House,,general,NY,95113
Yvette D. Clarke,Kings,9,2014-11-04,U.S. House,DEM,general,NY,70997
Daniel J. Cavanagh,Kings,9,2014-11-04,U.S. House,CON,general,NY,9727
Yvette D. Clarke,Kings,9,2014-11-04,U.S. House,WOR,general,NY,11662
Blank,Kings,9,2014-11-04,U.S. House,,general,NY,9037
Void,Kings,9,2014-11-04,U.S. House,,general,NY,0
Scattering,Kings,9,2014-11-04,U.S. House,,general,NY,183
Total,Kings,9,2014-11-04,U.S. House,,general,NY,101606
Jerrold L. Nadler,Kings,10,2014-11-04,U.S. House,DEM,general,NY,16521
Jerrold L. Nadler,New York,10,2014-11-04,U.S. House,DEM,general,NY,57424
Jerrold L. Nadler,Total,10,2014-11-04,U.S. House,DEM,general,NY,73945
Ross Brady,Kings,10,2014-11-04,U.S. House,CON,general,NY,5321
Ross Brady,New York,10,2014-11-04,U.S. House,CON,general,NY,6721
Ross Brady,Total,10,2014-11-04,U.S. House,CON,general,NY,12042
Jerrold L. Nadler,Kings,10,2014-11-04,U.S. House,WOR,general,NY,2094
Jerrold L. Nadler,New York,10,2014-11-04,U.S. House,WOR,general,NY,13041
Jerrold L. Nadler,Total,10,2014-11-04,U.S. House,WOR,general,NY,15135
Michael J. Dilger,Kings,10,2014-11-04,U.S. House,FEP,general,NY,82
Michael J. Dilger,New York,10,2014-11-04,U.S. House,FEP,general,NY,472
Michael J. Dilger,Total,10,2014-11-04,U.S. House,FEP,general,NY,554
Blank,Kings,10,2014-11-04,U.S. House,,general,NY,5712
Blank,New York,10,2014-11-04,U.S. House,,general,NY,5633
Blank,Total,10,2014-11-04,U.S. House,,general,NY,11345
Void,Kings,10,2014-11-04,U.S. House,,general,NY,0
Void,New York,10,2014-11-04,U.S. House,,general,NY,0
Void,Total,10,2014-11-04,U.S. House,,general,NY,0
Scattering,Kings,10,2014-11-04,U.S. House,,general,NY,70
Scattering,New York,10,2014-11-04,U.S. House,,general,NY,135
Scattering,Total,10,2014-11-04,U.S. House,,general,NY,205
Total,Kings,10,2014-11-04,U.S. House,,general,NY,29800
Total,New York,10,2014-11-04,U.S. House,,general,NY,83426
Total,Total,10,2014-11-04,U.S. House,,general,NY,113226
"Domenic M. Recchia, Jr.",Richmond,11,2014-11-04,U.S. House,DEM,general,NY,27935
"Domenic M. Recchia, Jr.",Kings,11,2014-11-04,U.S. House,DEM,general,NY,13494
"Domenic M. Recchia, Jr.",Total,11,2014-11-04,U.S. House,DEM,general,NY,41429
Michael G. Grimm,Richmond,11,2014-11-04,U.S. House,REP,general,NY,39006
Michael G. Grimm,Kings,11,2014-11-04,U.S. House,REP,general,NY,9285
Michael G. Grimm,Total,11,2014-11-04,U.S. House,REP,general,NY,48291
Michael G. Grimm,Richmond,11,2014-11-04,U.S. House,CON,general,NY,5935
Michael G. Grimm,Kings,11,2014-11-04,U.S. House,CON,general,NY,2316
Michael G. Grimm,Total,11,2014-11-04,U.S. House,CON,general,NY,8251
"Domenic M. Recchia, Jr.",Richmond,11,2014-11-04,U.S. House,WOR,general,NY,2446
"Domenic M. Recchia, Jr.",Kings,11,2014-11-04,U.S. House,WOR,general,NY,1369
"Domenic M. Recchia, Jr.",Total,11,2014-11-04,U.S. House,WOR,general,NY,3815
Michael G. Grimm,Richmond,11,2014-11-04,U.S. House,IND,general,NY,1988
Michael G. Grimm,Kings,11,2014-11-04,U.S. House,IND,general,NY,356
Michael G. Grimm,Total,11,2014-11-04,U.S. House,IND,general,NY,2344
Henry J. Bardel,Richmond,11,2014-11-04,U.S. House,GRE,general,NY,1880
Henry J. Bardel,Kings,11,2014-11-04,U.S. House,GRE,general,NY,807
Henry J. Bardel,Total,11,2014-11-04,U.S. House,GRE,general,NY,2687
Blank,Richmond,11,2014-11-04,U.S. House,,general,NY,1750
Blank,Kings,11,2014-11-04,U.S. House,,general,NY,1886
Blank,Total,11,2014-11-04,U.S. House,,general,NY,3636
Void,Richmond,11,2014-11-04,U.S. House,,general,NY,0
Void,Kings,11,2014-11-04,U.S. House,,general,NY,0
Void,Total,11,2014-11-04,U.S. House,,general,NY,0
Scattering,Richmond,11,2014-11-04,U.S. House,,general,NY,474
Scattering,Kings,11,2014-11-04,U.S. House,,general,NY,72
Scattering,Total,11,2014-11-04,U.S. House,,general,NY,546
Total,Richmond,11,2014-11-04,U.S. House,,general,NY,81414
Total,Kings,11,2014-11-04,U.S. House,,general,NY,29585
Total,Total,11,2014-11-04,U.S. House,,general,NY,110999
Carolyn B. Maloney,Kings,12,2014-11-04,U.S. House,DEM,general,NY,5635
Carolyn B. Maloney,New York,12,2014-11-04,U.S. House,DEM,general,NY,63200
Carolyn B. Maloney,Queens,12,2014-11-04,U.S. House,DEM,general,NY,9605
Carolyn B. Maloney,Total,12,2014-11-04,U.S. House,DEM,general,NY,78440
Nicholas S. Di lorio,Kings,12,2014-11-04,U.S. House,REP,general,NY,747
Nicholas S. Di lorio,New York,12,2014-11-04,U.S. House,REP,general,NY,17433
Nicholas S. Di lorio,Queens,12,2014-11-04,U.S. House,REP,general,NY,1384
Nicholas S. Di lorio,Total,12,2014-11-04,U.S. House,REP,general,NY,19564
Nicholas S. Di lorio,Kings,12,2014-11-04,U.S. House,CON,general,NY,223
Nicholas S. Di lorio,New York,12,2014-11-04,U.S. House,CON,general,NY,1383
Nicholas S. Di lorio,Queens,12,2014-11-04,U.S. House,CON,general,NY,235
Nicholas S. Di lorio,Total,12,2014-11-04,U.S. House,CON,general,NY,1841
Carolyn B. Maloney,Kings,12,2014-11-04,U.S. House,WOR,general,NY,1753
Carolyn B. Maloney,New York,12,2014-11-04,U.S. House,WOR,general,NY,9156
Carolyn B. Maloney,Queens,12,2014-11-04,U.S. House,WOR,general,NY,1254
Carolyn B. Maloney,Total,12,2014-11-04,U.S. House,WOR,general,NY,12163
Nicholas S. Di lorio,Kings,12,2014-11-04,U.S. House,IND,general,NY,107
Nicholas S. Di lorio,New York,12,2014-11-04,U.S. House,IND,general,NY,1053
Nicholas S. Di lorio,Queens,12,2014-11-04,U.S. House,IND,general,NY,166
Nicholas S. Di lorio,Total,12,2014-11-04,U.S. House,IND,general,NY,1326
Blank,Kings,12,2014-11-04,U.S. House,,general,NY,382
Blank,New York,12,2014-11-04,U.S. House,,general,NY,2818
Blank,Queens,12,2014-11-04,U.S. House,,general,NY,791
Blank,Total,12,2014-11-04,U.S. House,,general,NY,3991
Void,Kings,12,2014-11-04,U.S. House,,general,NY,0
Void,New York,12,2014-11-04,U.S. House,,general,NY,0
Void,Queens,12,2014-11-04,U.S. House,,general,NY,0
Void,Total,12,2014-11-04,U.S. House,,general,NY,0
Scattering,Kings,12,2014-11-04,U.S. House,,general,NY,21
Scattering,New York,12,2014-11-04,U.S. House,,general,NY,45
Scattering,Queens,12,2014-11-04,U.S. House,,general,NY,29
Scattering,Total,12,2014-11-04,U.S. House,,general,NY,95
Total,Kings,12,2014-11-04,U.S. House,,general,NY,8868
Total,New York,12,2014-11-04,U.S. House,,general,NY,95088
Total,Queens,12,2014-11-04,U.S. House,,general,NY,13464
Total,Total,12,2014-11-04,U.S. House,,general,NY,117420
Charles B. Rangel,Bronx,13,2014-11-04,U.S. House,DEM,general,NY,11856
Charles B. Rangel,New York,13,2014-11-04,U.S. House,DEM,general,NY,51581
Charles B. Rangel,Total,13,2014-11-04,U.S. House,DEM,general,NY,63437
Charles B. Rangel,Bronx,13,2014-11-04,U.S. House,WOR,general,NY,625
Charles B. Rangel,New York,13,2014-11-04,U.S. House,WOR,general,NY,4334
Charles B. Rangel,Total,13,2014-11-04,U.S. House,WOR,general,NY,4959
Daniel Vila Rivera,Bronx,13,2014-11-04,U.S. House,GRE,general,NY,1373
Daniel Vila Rivera,New York,13,2014-11-04,U.S. House,GRE,general,NY,8433
Daniel Vila Rivera,Total,13,2014-11-04,U.S. House,GRE,general,NY,9806
Blank,Bronx,13,2014-11-04,U.S. House,,general,NY,2316
Blank,New York,13,2014-11-04,U.S. House,,general,NY,11165
Blank,Total,13,2014-11-04,U.S. House,,general,NY,13481
Void,Bronx,13,2014-11-04,U.S. House,,general,NY,0
Void,New York,13,2014-11-04,U.S. House,,general,NY,0
Void,Total,13,2014-11-04,U.S. House,,general,NY,0
Scattering,Bronx,13,2014-11-04,U.S. House,,general,NY,20
Scattering,New York,13,2014-11-04,U.S. House,,general,NY,131
Scattering,Total,13,2014-11-04,U.S. House,,general,NY,151
Total,Bronx,13,2014-11-04,U.S. House,,general,NY,16190
Total,New York,13,2014-11-04,U.S. House,,general,NY,75644
Total,Total,13,2014-11-04,U.S. House,,general,NY,91834
Joseph Crowley,Bronx,14,2014-11-04,U.S. House,DEM,general,NY,17518
Joseph Crowley,Queens,14,2014-11-04,U.S. House,DEM,general,NY,27852
Joseph Crowley,Total,14,2014-11-04,U.S. House,DEM,general,NY,45370
Elizabeth Perri,Bronx,14,2014-11-04,U.S. House,CON,general,NY,2892
Elizabeth Perri,Queens,14,2014-11-04,U.S. House,CON,general,NY,3843
Elizabeth Perri,Total,14,2014-11-04,U.S. House,CON,general,NY,6735
Joseph Crowley,Bronx,14,2014-11-04,U.S. House,WOR,general,NY,1475
Joseph Crowley,Queens,14,2014-11-04,U.S. House,WOR,general,NY,3507
Joseph Crowley,Total,14,2014-11-04,U.S. House,WOR,general,NY,4982
Blank,Bronx,14,2014-11-04,U.S. House,,general,NY,3837
Blank,Queens,14,2014-11-04,U.S. House,,general,NY,6331
Blank,Total,14,2014-11-04,U.S. House,,general,NY,10168
Void,Bronx,14,2014-11-04,U.S. House,,general,NY,0
Void,Queens,14,2014-11-04,U.S. House,,general,NY,0
Void,Total,14,2014-11-04,U.S. House,,general,NY,0
Scattering,Bronx,14,2014-11-04,U.S. House,,general,NY,33
Scattering,Queens,14,2014-11-04,U.S. House,,general,NY,84
Scattering,Total,14,2014-11-04,U.S. House,,general,NY,117
Total,Bronx,14,2014-11-04,U.S. House,,general,NY,25755
Total,Queens,14,2014-11-04,U.S. House,,general,NY,41617
Total,Total,14,2014-11-04,U.S. House,,general,NY,67372
Jose E. Serrano,Bronx,15,2014-11-04,U.S. House,DEM,general,NY,53128
Eduardo Ramirez,Bronx,15,2014-11-04,U.S. House,CON,general,NY,1047
Jose E. Serrano,Bronx,15,2014-11-04,U.S. House,WOR,general,NY,1778
William Edstrom,Bronx,15,2014-11-04,U.S. House,GRE,general,NY,568
Blank,Bronx,15,2014-11-04,U.S. House,,general,NY,4705
Void,Bronx,15,2014-11-04,U.S. House,,general,NY,0
Scattering,Bronx,15,2014-11-04,U.S. House,,general,NY,42
Total,Bronx,15,2014-11-04,U.S. House,,general,NY,61268
Eliot L. Engel,Bronx,16,2014-11-04,U.S. House,DEM,general,NY,31764
Eliot L. Engel,Westchester,16,2014-11-04,U.S. House,DEM,general,NY,58324
Eliot L. Engel,Total,16,2014-11-04,U.S. House,DEM,general,NY,90088
Eliot L. Engel,Bronx,16,2014-11-04,U.S. House,WOR,general,NY,2145
Eliot L. Engel,Westchester,16,2014-11-04,U.S. House,WOR,general,NY,7425
Eliot L. Engel,Total,16,2014-11-04,U.S. House,WOR,general,NY,9570
Blank,Bronx,16,2014-11-04,U.S. House,,general,NY,4361
Blank,Westchester,16,2014-11-04,U.S. House,,general,NY,33903
Blank,Total,16,2014-11-04,U.S. House,,general,NY,38264
Void,Bronx,16,2014-11-04,U.S. House,,general,NY,0
Void,Westchester,16,2014-11-04,U.S. House,,general,NY,0
Void,Total,16,2014-11-04,U.S. House,,general,NY,0
Scattering,Bronx,16,2014-11-04,U.S. House,,general,NY,170
Scattering,Westchester,16,2014-11-04,U.S. House,,general,NY,563
Scattering,Total,16,2014-11-04,U.S. House,,general,NY,733
Total,Bronx,16,2014-11-04,U.S. House,,general,NY,38440
Total,Westchester,16,2014-11-04,U.S. House,,general,NY,100215
Total,Total,16,2014-11-04,U.S. House,,general,NY,138655
Nita M. Lowey,Rockland,17,2014-11-04,U.S. House,DEM,general,NY,34888
Nita M. Lowey,Westchester,17,2014-11-04,U.S. House,DEM,general,NY,54407
Nita M. Lowey,Total,17,2014-11-04,U.S. House,DEM,general,NY,89295
Christopher E. Day,Rockland,17,2014-11-04,U.S. House,REP,general,NY,29101
Christopher E. Day,Westchester,17,2014-11-04,U.S. House,REP,general,NY,34448
Christopher E. Day,Total,17,2014-11-04,U.S. House,REP,general,NY,63549
Christopher E. Day,Rockland,17,2014-11-04,U.S. House,CON,general,NY,6098
Christopher E. Day,Westchester,17,2014-11-04,U.S. House,CON,general,NY,6134
Christopher E. Day,Total,17,2014-11-04,U.S. House,CON,general,NY,12232
Nita M. Lowey,Rockland,17,2014-11-04,U.S. House,WOR,general,NY,3100
Nita M. Lowey,Westchester,17,2014-11-04,U.S. House,WOR,general,NY,5755
Nita M. Lowey,Total,17,2014-11-04,U.S. House,WOR,general,NY,8855
Blank,Rockland,17,2014-11-04,U.S. House,,general,NY,2637
Blank,Westchester,17,2014-11-04,U.S. House,,general,NY,4954
Blank,Total,17,2014-11-04,U.S. House,,general,NY,7591
Void,Rockland,17,2014-11-04,U.S. House,,general,NY,29
Void,Westchester,17,2014-11-04,U.S. House,,general,NY,0
Void,Total,17,2014-11-04,U.S. House,,general,NY,29
Scattering,Rockland,17,2014-11-04,U.S. House,,general,NY,64
Scattering,Westchester,17,2014-11-04,U.S. House,,general,NY,59
Scattering,Total,17,2014-11-04,U.S. House,,general,NY,123
Total,Rockland,17,2014-11-04,U.S. House,,general,NY,75917
Total,Westchester,17,2014-11-04,U.S. House,,general,NY,105757
Total,Total,17,2014-11-04,U.S. House,,general,NY,181674
Sean Patrick Maloney,Orange,18,2014-11-04,U.S. House,DEM,general,NY,35788
Sean Patrick Maloney,Putnam,18,2014-11-04,U.S. House,DEM,general,NY,10396
Sean Patrick Maloney,Dutchess,18,2014-11-04,U.S. House,DEM,general,NY,19200
Sean Patrick Maloney,Westchester,18,2014-11-04,U.S. House,DEM,general,NY,10851
Sean Patrick Maloney,Total,18,2014-11-04,U.S. House,DEM,general,NY,76235
Nan Hayworth,Orange,18,2014-11-04,U.S. House,REP,general,NY,30353
Nan Hayworth,Putnam,18,2014-11-04,U.S. House,REP,general,NY,11490
Nan Hayworth,Dutchess,18,2014-11-04,U.S. House,REP,general,NY,15540
Nan Hayworth,Westchester,18,2014-11-04,U.S. House,REP,general,NY,9140
Nan Hayworth,Total,18,2014-11-04,U.S. House,REP,general,NY,66523
Nan Hayworth,Orange,18,2014-11-04,U.S. House,CON,general,NY,7433
Nan Hayworth,Putnam,18,2014-11-04,U.S. House,CON,general,NY,2855
Nan Hayworth,Dutchess,18,2014-11-04,U.S. House,CON,general,NY,3964
Nan Hayworth,Westchester,18,2014-11-04,U.S. House,CON,general,NY,1462
Nan Hayworth,Total,18,2014-11-04,U.S. House,CON,general,NY,15714
Sean Patrick Maloney,Orange,18,2014-11-04,U.S. House,WOR,general,NY,8033
Sean Patrick Maloney,Putnam,18,2014-11-04,U.S. House,WOR,general,NY,1467
Sean Patrick Maloney,Dutchess,18,2014-11-04,U.S. House,WOR,general,NY,2349
Sean Patrick Maloney,Westchester,18,2014-11-04,U.S. House,WOR,general,NY,909
Sean Patrick Maloney,Total,18,2014-11-04,U.S. House,WOR,general,NY,12758
Nan Hayworth,Orange,18,2014-11-04,U.S. House,IND,general,NY,1656
Nan Hayworth,Putnam,18,2014-11-04,U.S. House,IND,general,NY,567
Nan Hayworth,Dutchess,18,2014-11-04,U.S. House,IND,general,NY,910
Nan Hayworth,Westchester,18,2014-11-04,U.S. House,IND,general,NY,290
Nan Hayworth,Total,18,2014-11-04,U.S. House,IND,general,NY,3423
Scott A. Smith,Orange,18,2014-11-04,U.S. House,MSC,general,NY,2943
Scott A. Smith,Putnam,18,2014-11-04,U.S. House,MSC,general,NY,394
Scott A. Smith,Dutchess,18,2014-11-04,U.S. House,MSC,general,NY,771
Scott A. Smith,Westchester,18,2014-11-04,U.S. House,MSC,general,NY,186
Scott A. Smith,Total,18,2014-11-04,U.S. House,MSC,general,NY,4294
Blank,Orange,18,2014-11-04,U.S. House,,general,NY,4930
Blank,Putnam,18,2014-11-04,U.S. House,,general,NY,858
Blank,Dutchess,18,2014-11-04,U.S. House,,general,NY,1260
